news_id	rater1	rater2
1	0	0
2	-1	-1
3	1	0
4	0	-1
5	-1	-1
6	0	1
7	0	0
8	-1	-1
9	-1	-1
10	-1	-1
11	-1	0
12	1	1
13	-1	0
14	-1	-1
15	-1	-1
16	1	0
17	-1	-1
18	-1	-1
19	-1	-1
20	-1	-1
32	1	1
37	0	1
39	-1	-1
40	1	1
42	-1	-1
45	1	1
46	0	1
50	-1	-1
52	0	1
54	-1	-1
55	0	-1
56	-1	-1
57	0	-1
58	0	-1
59	0	0
60	1	0
61	0	0
62	-1	-1
63	0	-1
64	0	-1
65	0	1
66	-1	-1
67	-1	-1
68	-1	-1
69	-1	-1
70	0	-1
71	-1	-1
72	0	-1
73	0	0
74	-1	0
75	-1	-1
76	0	1
77	0	1
78	-1	-1
79	0	-1
80	0	0
81	0	-1
82	0	0
83	0	-1
84	-1	-1
85	0	1
86	0	-1
87	1	1
88	0	-1
89	0	-1
90	0	0
91	-1	-1
92	-1	0
93	0	-1
94	-1	-1
95	1	1
96	0	-1
97	0	0
98	-1	-1
99	-1	-1
100	0	1
101	-1	-1
102	0	-1
103	0	-1
104	0	-1
105	-1	-1
106	0	1
107	0	0
108	0	0
109	-1	-1
110	0	-1
111	0	1
112	0	1
113	0	-1
114	0	1
115	1	1
116	1	1
117	0	1
118	1	1
119	-1	-1
120	-1	0
121	1	-1
122	1	0
123	-1	-1
124	0	-1
125	-1	-1
126	0	0
127	0	1
128	-1	-1
129	-1	-1
130	-1	-1
131	-1	1
132	1	1
133	1	0
134	-1	-1
135	-1	-1
136	1	1
137	1	1
138	0	0
139	-1	-1
140	-1	-1
141	-1	-1
142	0	1
143	-1	-1
144	-1	-1
145	0	0
146	1	1
147	-1	-1
148	1	1
149	0	0
150	1	1
151	-1	-1
152	-1	-1
153	-1	-1
154	0	1
155	-1	-1
156	-1	1
157	-1	-1
158	1	0
159	-1	-1
160	1	1
161	1	1
162	1	1
163	1	1
164	-1	-1
165	1	-1
166	1	0
167	-1	-1
168	0	0
169	1	1
170	0	0
171	1	0
172	-1	-1
173	1	1
174	0	0
175	0	0
176	0	0
177	-1	-1
178	-1	-1
179	0	0
180	0	0
181	1	1
182	-1	-1
183	-1	-1
184	1	1
185	-1	-1
186	0	0
187	-1	-1
188	0	0
189	1	0
190	1	1
191	0	0
192	-1	-1
193	1	0
194	-1	-1
195	-1	-1
196	-1	-1
197	1	0
198	-1	-1
199	1	0
200	-1	-1
201	-1	-1
202	0	0
203	1	1
204	0	0
205	1	1
206	-1	-1
207	1	0
208	1	1
209	-1	-1
210	0	0
211	0	0
212	-1	-1
213	-1	-1
214	0	0
215	-1	-1
216	0	0
217	-1	-1
218	-1	-1
219	-1	-1
220	-1	-1
221	0	0
222	-1	-1
223	1	0
224	-1	-1
225	0	0
226	0	0
227	1	1
228	0	0
229	1	0
230	1	0
231	0	0
232	0	0
233	-1	-1
234	0	0
235	-1	-1
236	-1	-1
237	1	0
238	1	0
239	1	0
240	1	1
241	-1	-1
242	-1	-1
243	0	0
244	-1	-1
245	-1	-1
246	0	0
247	-1	-1
248	-1	-1
249	-1	-1
250	1	0
251	-1	-1
252	1	0
253	1	1
254	-1	-1
255	-1	-1
256	1	1
257	-1	-1
258	1	0
259	0	0
260	-1	-1
261	-1	-1
262	-1	-1
263	0	0
264	1	0
265	0	0
266	0	0
267	-1	-1
268	0	0
269	-1	-1
270	0	0
271	-1	-1
272	1	0
273	-1	-1
274	1	0
275	0	0
276	1	0
277	-1	-1
278	1	0
279	0	0
280	1	0
281	-1	-1
282	0	0
283	1	0
284	1	1
285	-1	-1
286	1	0
287	0	0
288	0	0
289	0	0
290	1	0
291	0	0
292	-1	-1
293	0	0
294	1	1
295	1	1
296	-1	-1
297	1	1
298	0	0
299	1	0
300	1	0
301	1	0
302	-1	-1
303	0	0
304	1	0
305	0	0
306	0	0
307	0	0
308	0	0
309	-1	-1
310	1	1
311	-1	-1
312	-1	-1
313	1	1
314	1	0
315	-1	-1
316	-1	-1
317	1	0
318	1	0
319	0	0
320	1	0
321	-1	-1
322	-1	-1
323	0	0
324	0	0
325	1	1
326	-1	-1
327	1	1
328	0	0
329	-1	-1
330	0	0
331	-1	-1
332	-1	-1
333	0	0
334	-1	-1
335	-1	-1
336	-1	-1
337	0	0
338	1	0
339	0	0
340	1	1
341	-1	-1
342	0	0
343	1	1
344	0	0
345	-1	-1
346	1	0
347	-1	-1
348	-1	-1
349	-1	-1
350	0	0
351	-1	-1
352	1	1
353	-1	-1
354	-1	-1
355	1	1
356	0	0
357	-1	-1
358	0	0
359	-1	-1
360	1	1
361	1	0
362	0	0
363	1	0
364	0	0
365	-1	-1
366	1	1
367	0	0
368	-1	-1
369	-1	-1
370	-1	-1
371	-1	-1
372	0	0
373	0	0
374	-1	-1
375	0	0
376	-1	-1
377	0	0
378	1	0
379	1	0
380	-1	-1
381	-1	-1
382	0	0
383	1	0
384	0	0
385	-1	-1
386	1	1
387	-1	-1
388	1	0
389	0	0
390	1	0
391	-1	-1
392	0	0
393	1	1
394	0	0
395	-1	-1
396	1	0
397	1	0
398	1	0
399	1	0
400	-1	-1
401	-1	-1
402	-1	-1
403	-1	-1
404	1	1
405	-1	-1
406	1	1
407	1	0
408	-1	-1
409	-1	-1
410	-1	-1
411	0	0
412	0	0
413	1	0
414	0	0
415	0	0
416	-1	-1
417	1	0
418	1	0
419	-1	-1
420	1	0
421	-1	-1
422	0	0
423	1	0
424	-1	-1
425	1	1
426	0	0
427	1	0
428	-1	-1
429	1	1
430	1	0
431	1	1
432	-1	-1
433	-1	-1
434	-1	-1
435	-1	-1
436	1	1
437	1	0
438	0	0
439	1	1
440	0	0
441	1	0
442	-1	-1
443	0	0
444	-1	-1
445	-1	-1
446	-1	-1
447	1	0
448	0	0
449	1	0
450	-1	-1
451	0	0
452	0	0
453	0	0
454	0	0
455	0	0
456	-1	-1
457	1	0
458	1	1
459	-1	-1
460	0	0
461	-1	-1
462	1	1
463	-1	-1
464	-1	-1
465	-1	-1
466	-1	-1
467	-1	-1
468	0	0
469	-1	-1
470	-1	-1
471	0	0
472	0	0
473	0	0
474	-1	-1
475	0	0
476	0	0
477	0	0
478	1	0
479	0	0
480	0	0
481	-1	-1
482	1	1
483	-1	-1
484	1	1
485	0	0
486	-1	-1
487	0	0
488	1	0
489	1	0
490	-1	-1
491	-1	-1
492	1	1
493	-1	-1
494	0	0
495	0	0
496	-1	-1
497	-1	-1
498	-1	-1
499	-1	-1
500	0	0
501	0	0
502	-1	-1
503	-1	-1
504	-1	-1
505	-1	-1
506	0	0
507	-1	-1
508	-1	-1
509	-1	-1
510	-1	-1
511	0	0
512	-1	-1
513	-1	-1
514	-1	-1
515	0	0
516	-1	-1
517	-1	-1
518	1	1
519	1	0
520	0	0
521	-1	-1
522	1	1
523	-1	-1
524	0	0
525	0	0
526	1	1
527	-1	-1
528	0	0
529	1	0
530	-1	-1
531	0	0
532	1	0
533	-1	-1
534	1	1
535	1	0
536	-1	-1
537	1	0
538	1	1
539	0	0
540	0	0
541	-1	-1
542	-1	-1
543	-1	-1
544	0	0
545	1	0
546	1	1
547	-1	-1
548	1	1
549	1	1
550	-1	-1
551	-1	-1
552	1	1
553	-1	-1
554	1	1
555	-1	-1
556	0	0
558	-1	-1
559	-1	-1
560	1	1
561	1	1
562	0	0
563	1	1
564	-1	-1
565	1	0
566	-1	-1
567	1	1
568	1	0
569	1	1
570	-1	-1
571	-1	-1
572	0	0
573	1	0
574	-1	-1
575	-1	-1
576	-1	-1
577	-1	-1
578	0	0
579	0	0
580	-1	-1
581	-1	-1
582	-1	-1
583	-1	-1
584	0	0
585	0	0
586	-1	-1
587	1	1
588	1	1
589	1	0
590	1	0
591	1	1
592	-1	-1
593	-1	-1
594	1	1
595	0	0
596	-1	-1
597	0	0
598	-1	-1
599	-1	-1
600	-1	-1
601	-1	-1
602	0	0
603	0	0
604	-1	-1
605	-1	-1
606	-1	-1
607	-1	-1
608	1	0
609	1	0
610	-1	-1
611	-1	-1
612	-1	-1
613	0	0
614	0	0
615	1	0
616	-1	-1
617	-1	-1
