row_Number,text,polarity
1,"[<Sentence: ωστοσο, προσθες «τιποτα κακο» προκειτα προκυψ συναντηση, αλλα «ισως ερθ κατι καλο».>, <Sentence: επισης, συμπληρως θες ζητημ ρως κατηγορ «χακαρισμα» υπολογιστ δημοκρατ κομμ κατα εκλογ ηπα- ωστοσο «δεν ειχ σκεφτει» ζητ εκδος (σημειωνεται υπαρχ συμφων εκδος μεταξυ ρως ηπα), αλλα ζητησει- τονις ο,τι συνεβη, συνεβ επι ομπαμα.>, <Sentence: ιδι αμερικαν προεδρ ειπ «πιστευει συναντησεις» συναντης ηγετ βορει κορ κιν ητ καλες.>, <Sentence: τραμπ ειπ θελ θες θεμ οπως ελεγχ πυρην εξοπλισμων, ουκραν συρια, συναντης πουτιν.>, <Sentence: αξιζ σημειωθ γερμαν υπεξ, χαικ μαας, προειδοποι τραμπ προβ μονομερ συμφων ρως οποι εχ κοστ συμμαχ ηπα δυση.>, <Sentence: υπενθυμιζ πως, συναντης πουτιν, αμερικαν προεδρ ειχ παραστ συνοδ νατ ειχ επισκεφθ ηνωμεν βασιλειο, προκαλ αισθης δηλως του, καθως κατηγορ εντον γερμαν αλλ χωρ βορειοατλαντ συμμαχ τηρ δεσμευς αμυντ δαπανες, αποτελεσμ ηπα σηκων μεγαλ βαρος, ενω, συνεντευξ ειπ ηπα μαλλον υπεγραφ εμπορ συμφων μ. βρετανια, καθως επικροτ ορ προτειν κυβερνης τερεζ μει- ενω ειπ ευρωπ «χανει χαρακτηρ της» εξαιτ μεταναστευς αφρικ μες ",0
2,"[<Sentence: προανακρις ακριβ αιτ δυστυχημ διενεργ αστυνομ τμημ ",-1
5,"[<Sentence: συμφων πρωτ πληροφορ μικρ γι επιχειρηματια, σωκρατ κοκκαλ βρεθ νεκρος, πιθαν ανακοπ καρδιας, δωματ ξενοδοχει ηπα οπου βρισκοταν.>, <Sentence: «πιτσιρικας», οπως συνηθιζ φωναζουν, ασχολ αναπτυξ αγορων, αλλα πηρ και… μαθημ κλαδ κατασκευ μες ενασχολης μαζ ετεροθαλ αδελφ του, δημητρ θεοδωριδη, αναμειχθ περισς ενεργ πα ",-1
7,"[<Sentence: συμφων γιανν καλλιανο, φαιν εβδομαδ ερχ συνεχις ειναι -σε φυσιολογ πλαισια- ζεστ θερμοκρας που, ευπαθ ζεστ περιοχ πεδιν ηπειρωτ ελλαδας, αγγιξ εξαιρες ομως τριτ οπου θερμ αερι μαζ ανεβας ",0
8,"[<Sentence: σχετ αναρτης ρουβικων αναφερ μεταξυ αλλων, προχωρ σημεριν επιθεση, επειδη συγκεκριμεν επιχειρης απελυς εργαζομενη.>, <Sentence: εχ γιν γνωστο, εργαζομεν πασχ σκληρυνς κατα πλακας, εταιρει προχωρ απολυς ενω γνωριζ προβλημ υγει βιντε στιγμ επιθες ανακοινως ρουβικων «μολις προσφατ ακ υπουργ εργας πανηγυριζ υποθες δικαιως δικαστηρ εργαζομεν τελικ πηρ πισω μισθ μην χρωστ αφεντ αποζημιως απολυσης.>, <Sentence: σημερ πολυεθν (και τονιζουμε, προκειτα καποι μαυρ αφεντ πετ κλωτς ανασφαλιστ εργαζομενο), απελυς εργαζομεν εμαθ πασχ σκληρυνς κατα πλακας.>, <Sentence: π ομως κατι αλλο: λοιπον υπηρχ μαχητ συνδικαλισμ βασης, κατεβαζ ρολ λεπτ απολυς ξανανοιγ ξαναδουλευ συγκεκριμεν εργατρια.>, <Sentence: υπηρχ σωματει καποτε κερδις εργατ δικαιωμ σημερ χανονται, αφεντ οποι κοιτ πισω πλατ καθε πρω επεμεν τετοι αντεργατ επιθεσεις.>, <Sentence: ειμαστε εμεις μερ συνθηκ διαρκ μαχ οπισθοφυλακ εποχ βας ειναι βυθισμεν αμηχανια, ιδιωτευση, αποστρατευση.>, <Sentence: ερωτημ παραμεν κοστιζ περισσοτερο: συμμετοχη, χρον κοπ ρισκ εν νε συνδικαλισμο, ελπιδ αρρωστης ποτε κι ετσι συνεχις παιρν ευρ μην φιλανθρωπ δουλει μεχρι βαθ ",-1
9,"[<Sentence: ετσι, απολογ ανακριτ επομεν ημερεσ.ο ιδι ητ βρ νεκρ γυναικ δεκεμβρ τραυμ επαφ κεφαλ ειδοποι αστυνομ τμημ ",-1
10,"[<Sentence: ευρω, αλλα εξετις ποιν χαριν μονον φωτογραφ νομ κ. παρασκευοπουλ παρεγραψ αδικημ του», αναφερ ανακοινωση.«υστερα αυτα, τιθ ευθ ερωτημα: ευρωπαικ χωρ επιχειρ αδερφ πρωθυπουργ διεκδικ δημος εργ πλαστ ασφαλιστ ενημεροτητα, δικαζ αθωων φωτογραφ διαταξ κυβερνης ειχ θρας εγκαλ μ.μ.ε. αξιωματ αντιπολιτευς επειδη αποκαλυπτ σκανδαλο;», καταληγ νε δημοκρατια.«στην περιπτως δημητρ τσιπρ επιβλ καμ ποιν δικαστηριο, αρα ουδεποτ επεβληθ ποινη, οποι εκτιθ χαρ νομ παρασκευοπουλου, οποι ισχυ αφορ ανεξαιρετως ολ ελλην πολιτ αναφερ δικηγορ του, ιωανν ",-1
12,"[<Sentence: ιδι ζορ ζαεφ παρεστ γιορτ εγιν πολ μπιτολα, οπου μιλ πληθ επιχειρ φαν ενωτ ενοψ δημοψηφισμ συμφων πρεσπ επιτευχθ αθην επιλυς ονοματολογικου.>, <Sentence: κ. ζαεφ καλες πολιτ αλλα αντιπολιτευς διαλεξ κοιν μελλον, καταληγ σταματ μις κλιμ ενθουσιασμ κυβερνης συμμεριζ ωστοσο αντιπολιτευση, πρωτοστατουντ κομμ ανακοινως χωρ χρειαζ γιορτ αλλα μια απολογ ",1
14,"[<Sentence: εντοπισμ διεξηχθ επιχειρης λιμεν σωμ πολεμ ναυτ (πν) ενεργοποιης ελικοπτερ ενω ετοιμοτητ επεμβας βρισκ ομαδ ",-1
15,"[<Sentence: συνεργει υποστηριζ συνεληφθ αλεξανδρουπολ προκειτα δημοσιογραφ εικονοληπτ οδηγ εκαν δοκιμαστ μεταδος κοντ αεροδρομ αλεξανδρουπολης.>, <Sentence: αισθης προκαλ δηλως οποι εστιαζ τουρκ πρακτορειο: εχ δουλεψ αρκετ χωρ αλλα εχ δ ποτε τετοι συμπεριφορ ακομ χωρ υπαρχ χειρ συμπεριφορ ιδιος, συμφων παντ ιδι πηγη, δηλων σοκαρισμεν εζ μια τετοι εμπειρ ευρωπαικ ",-1
